QID	Peptide	Unmod Peptide	References	Alignment Score	Min E-Value	Query Start	Query End	Num Identical
16399			[('sp_Q12874_SF3A3_HUMAN', 81, 89), ('gi_5803167_ref_NP_006793.1_', 81, 89)]	108	0.017	16	24	9
16400			[('##tr_J3KTJ1_J3KTJ1_HUMAN', 86, 93), ('##sp_P24844-2_MYL9_HUMAN', 89, 96), ('##gi_31563524_ref_NP_852667.1_', 89, 96), ('##sp_P19105_ML12A_HUMAN', 143, 150), ('##gi_5453740_ref_NP_006462.1_', 143, 150), ('##sp_O14950_ML12B_HUMAN', 143, 150), ('##sp_P24844_MYL9_HUMAN', 143, 150), ('##gi_222144326_ref_NP_001138417.1_', 143, 150), ('##gi_29568111_ref_NP_006088.2_', 143, 150), ('##gi_15809016_ref_NP_291024.1_', 143, 150), ('##gi_222144324_ref_NP_001138416.1_', 143, 150), ('##tr_J3QRS3_J3QRS3_HUMAN', 143, 150), ('sp_Q96JQ5-2_M4A4A_HUMAN', 169, 175), ('gi_343098442_ref_NP_001230195.1_', 169, 175), ('sp_P60880_SNP25_HUMAN', 162, 167), ('sp_P60880-2_SNP25_HUMAN', 162, 167), ('gi_18765733_ref_NP_003072.2_', 162, 167), ('gi_18765735_ref_NP_570824.1_', 162, 167), ('gi_20070328_ref_NP_076926.2_', 203, 209), ('sp_Q96JQ5_M4A4A_HUMAN', 222, 228), ('gi_23110995_ref_NP_683876.1_', 222, 228), ('sp_Q13641_TPBG_HUMAN', 301, 307), ('gi_5729718_ref_NP_006661.1_', 301, 307), ('gi_262205665_ref_NP_001159864.1_', 301, 307), ('sp_Q96DN6_MBD6_HUMAN', 517, 522), ('gi_46852161_ref_NP_443129.3_', 517, 522)]	72	11.0	1	7	7
8209			[('tr_E9PNW8_E9PNW8_HUMAN', 79, 90), ('sp_Q8WVX9_FACR1_HUMAN', 79, 90), ('gi_24308324_ref_NP_115604.1_', 79, 90)]	144	2.6e-07	1	12	12
8210			[('sp_Q13127-2_REST_HUMAN', 129, 135), ('sp_Q13127-3_REST_HUMAN', 129, 135), ('sp_Q13127-4_REST_HUMAN', 129, 135), ('sp_Q13127_REST_HUMAN', 129, 135), ('gi_301897974_ref_NP_005603.3_', 129, 135), ('gi_301897977_ref_NP_001180437.1_', 129, 135)]	84	2.8	13	19	7
8212			[('sp_Q9NRF9_DPOE3_HUMAN', 139, 147), ('gi_224586804_ref_NP_059139.3_', 139, 147)]	108	0.0023	17	25	9
8213			[('tr_H0YJP3_H0YJP3_HUMAN', 103, 119), ('sp_P23381-2_SYWC_HUMAN', 303, 319), ('gi_47419918_ref_NP_998810.1_', 309, 325), ('gi_47419920_ref_NP_998811.1_', 309, 325), ('sp_P23381_SYWC_HUMAN', 350, 366), ('gi_47419914_ref_NP_004175.2_', 350, 366), ('gi_47419916_ref_NP_776049.1_', 350, 366)]	204	1.7e-13	1	17	17
25			[('tr_F8WEK8_F8WEK8_HUMAN', 10, 15), ('sp_Q8N6M8-2_IQCF1_HUMAN', 10, 15), ('sp_Q8N6M8_IQCF1_HUMAN', 10, 15), ('gi_229577354_ref_NP_689610.2_', 10, 15), ('##sp_P42701-3_I12R1_HUMAN', 254, 259), ('##gi_24497440_ref_NP_714912.1_', 254, 259), ('tr_H0YEJ7_H0YEJ7_HUMAN', 386, 391), ('tr_B5MDZ7_B5MDZ7_HUMAN', 301, 306), ('gi_410171396_ref_XP_003960263.1_', 301, 306), ('gi_410171400_ref_XP_003960265.1_', 301, 306), ('gi_410171402_ref_XP_003960266.1_', 301, 306), ('gi_373432620_ref_NP_001243266.1_', 301, 306), ('##sp_Q13546-2_RIPK1_HUMAN', 463, 468), ('##sp_P42701-2_I12R1_HUMAN', 533, 538), ('##sp_P42701_I12R1_HUMAN', 535, 540), ('##gi_5031785_ref_NP_005526.1_', 535, 540), ('##sp_Q5VUJ5_AGAP7_HUMAN', 129, 134), ('##gi_117956373_ref_NP_001071153.1_', 129, 134), ('##sp_Q13546_RIPK1_HUMAN', 463, 468), ('##gi_57242761_ref_NP_003795.2_', 463, 468), ('gi_410171404_ref_XP_003960267.1_', 582, 587), ('sp_Q86WJ1-3_CHD1L_HUMAN', 378, 383), ('gi_410171398_ref_XP_003960264.1_', 378, 383), ('gi_373432623_ref_NP_001243267.1_', 378, 383), ('##tr_F5H3J2_F5H3J2_HUMAN', 336, 341), ('##gi_304434531_ref_NP_001182122.1_', 336, 341), ('sp_Q8WYL5-4_SSH1_HUMAN', 430, 437), ('sp_Q86WJ1-4_CHD1L_HUMAN', 469, 474), ('gi_410171390_ref_XP_003960260.1_', 469, 474), ('gi_410171392_ref_XP_003960261.1_', 469, 474), ('gi_373432617_ref_NP_078844.2_', 469, 474), ('##sp_P49321_NASP_HUMAN', 336, 341), ('##gi_27262628_ref_NP_002473.2_', 336, 341), ('##sp_P49321-3_NASP_HUMAN', 336, 341), ('gi_410171394_ref_XP_003960262.1_', 482, 487), ('gi_373432615_ref_NP_001243265.1_', 482, 487), ('sp_Q86WJ1-2_CHD1L_HUMAN', 488, 493), ('gi_410171386_ref_XP_003960258.1_', 488, 493), ('sp_Q6P995_F171B_HUMAN', 440, 447), ('gi_116875848_ref_NP_803237.3_', 440, 447), ('tr_E9PJK4_E9PJK4_HUMAN', 728, 733), ('sp_A6NI28_RHG42_HUMAN', 762, 767), ('gi_221307575_ref_NP_689645.2_', 762, 767), ('gi_410171388_ref_XP_003960259.1_', 582, 587), ('gi_410171384_ref_XP_003960257.1_', 567, 572), ('sp_Q86WJ1_CHD1L_HUMAN', 582, 587), ('gi_410171380_ref_XP_003960255.1_', 582, 587), ('gi_373428660_ref_NP_004275.4_', 582, 587), ('gi_410171382_ref_XP_003960256.1_', 585, 590), ('sp_Q8WYL5_SSH1_HUMAN', 742, 749), ('gi_239047414_ref_NP_061857.3_', 742, 749), ('##sp_Q96T23-3_RSF1_HUMAN', 51, 56), ('##sp_Q96T23-2_RSF1_HUMAN', 51, 56), ('##sp_Q96T23_RSF1_HUMAN', 51, 56), ('##gi_38788333_ref_NP_057662.3_', 51, 56), ('sp_Q53TS8-4_AL2SA_HUMAN', 882, 888), ('gi_270133251_ref_NP_001161693.1_', 882, 888), ('sp_P11137-3_MAP2_HUMAN', 1197, 1204), ('sp_P11137_MAP2_HUMAN', 1201, 1208), ('gi_87578396_ref_NP_002365.3_', 1201, 1208), ('##sp_P00451_FA8_HUMAN', 744, 749), ('##gi_4503647_ref_NP_000123.1_', 744, 749), ('##sp_P78559_MAP1A_HUMAN', 1201, 1206), ('##gi_95147555_ref_NP_002364.5_', 1201, 1206), ('##tr_J3KPX8_J3KPX8_HUMAN', 1203, 1208), ('##sp_P78559-2_MAP1A_HUMAN', 1203, 1208), ('##tr_E9PGC8_E9PGC8_HUMAN', 1201, 1206)]	72	1.8	1	6	6
26			[('sp_Q9H444_CHM4B_HUMAN', 207, 215), ('gi_28827795_ref_NP_789782.1_', 207, 215)]	96	0.011	1	10	9
8220			[('tr_K7EQA9_K7EQA9_HUMAN', 79, 93), ('tr_K7EKQ2_K7EKQ2_HUMAN', 79, 93), ('sp_Q16543_CDC37_HUMAN', 79, 93), ('gi_5901922_ref_NP_008996.1_', 79, 93)]	180	5.6e-11	1	15	15
9711			[('sp_Q9GZZ1-2_NAA50_HUMAN', 39, 48), ('tr_B0AZT5_B0AZT5_HUMAN', 53, 62), ('tr_C9J5D1_C9J5D1_HUMAN', 87, 96), ('tr_E7EQ69_E7EQ69_HUMAN', 126, 135), ('sp_Q9GZZ1_NAA50_HUMAN', 127, 136), ('gi_13376735_ref_NP_079422.1_', 127, 136)]	120	1.4e-05	1	10	10
31			[('tr_H3BQZ7_H3BQZ7_HUMAN', 175, 187), ('sp_Q1KMD3_HNRL2_HUMAN', 175, 187), ('gi_118601081_ref_NP_001073027.1_', 175, 187)]	156	1.1e-07	1	13	13
16416			[('sp_P28066-2_PSA5_HUMAN', 92, 111), ('gi_315138981_ref_NP_001186701.1_', 92, 111), ('gi_315138983_ref_NP_001186702.1_', 92, 111), ('gi_315138985_ref_NP_001186703.1_', 92, 111), ('sp_P28066_PSA5_HUMAN', 150, 169), ('gi_23110942_ref_NP_002781.2_', 150, 169)]	216	9.3e-15	1	19	19
16417			[('sp_P49589-2_SYCC_HUMAN', 175, 191), ('gi_21269877_ref_NP_644802.1_', 175, 191), ('tr_A8MVQ3_A8MVQ3_HUMAN', 165, 181), ('tr_B4DKY1_B4DKY1_HUMAN', 188, 204), ('sp_P49589_SYCC_HUMAN', 175, 191), ('gi_10835051_ref_NP_001742.1_', 175, 191), ('gi_303304987_ref_NP_001181926.1_', 258, 274), ('sp_P49589-3_SYCC_HUMAN', 258, 274), ('gi_62240992_ref_NP_001014437.1_', 258, 274)]	204	6.2e-12	8	24	17
8226			[('tr_E5RFF3_E5RFF3_HUMAN', 1024, 1034), ('sp_Q9UHF7_TRPS1_HUMAN', 1270, 1280), ('sp_Q9UHF7-3_TRPS1_HUMAN', 1274, 1284), ('sp_Q9UHF7-2_TRPS1_HUMAN', 1283, 1293), ('gi_90652851_ref_NP_054831.2_', 1283, 1293)]	84	3.3	1	11	9
8227			[('tr_H0YDW2_H0YDW2_HUMAN', 268, 290), ('sp_Q13136-2_LIPA1_HUMAN', 825, 847), ('gi_29171753_ref_NP_803172.1_', 825, 847), ('sp_Q13136_LIPA1_HUMAN', 825, 847), ('gi_4505983_ref_NP_003617.1_', 825, 847)]	276	1.3e-19	1	23	23
8228			[('sp_Q9H8Y8-2_GORS2_HUMAN', 375, 384), ('gi_319803020_ref_NP_001188357.1_', 375, 384), ('sp_Q9H8Y8_GORS2_HUMAN', 443, 452), ('gi_29826294_ref_NP_056345.3_', 443, 452), ('tr_B4DKT0_B4DKT0_HUMAN', 455, 464)]	120	0.00024	16	25	10
16421			[('sp_Q5SW79-2_CE170_HUMAN', 180, 191), ('gi_109255232_ref_NP_001035864.1_', 180, 191), ('sp_Q5SW79-3_CE170_HUMAN', 180, 191), ('gi_109255230_ref_NP_001035863.1_', 180, 191), ('tr_H0Y2V6_H0Y2V6_HUMAN', 82, 93), ('sp_Q5SW79_CE170_HUMAN', 180, 191), ('gi_109255228_ref_NP_055627.2_', 180, 191)]	144	2.4e-09	16	27	12
8231			[('tr_J3KT73_J3KT73_HUMAN', 42, 49), ('tr_J3QL01_J3QL01_HUMAN', 42, 49), ('sp_P63173_RL38_HUMAN', 42, 49), ('gi_4506645_ref_NP_000990.1_', 42, 49), ('gi_78214522_ref_NP_001030335.1_', 42, 49), ('sp_P30086_PEBP1_HUMAN', 63, 70), ('gi_4505621_ref_NP_002558.1_', 63, 70)]	96	0.0094	1	8	8
8232			[('sp_P30050-2_RL12_HUMAN', 12, 31), ('sp_P30050_RL12_HUMAN', 12, 31), ('gi_4506597_ref_NP_000967.1_', 12, 31)]	192	2.3e-12	1	19	18
8234			[('tr_E9PNW8_E9PNW8_HUMAN', 79, 90), ('sp_Q8WVX9_FACR1_HUMAN', 79, 90), ('gi_24308324_ref_NP_115604.1_', 79, 90)]	144	2.6e-07	1	12	12
8235			[('tr_M0QYL7_M0QYL7_HUMAN', 184, 195), ('tr_M0R1W6_M0R1W6_HUMAN', 181, 192), ('sp_P14866-2_HNRPL_HUMAN', 116, 127), ('gi_52632385_ref_NP_001005335.1_', 116, 127), ('tr_M0QXS5_M0QXS5_HUMAN', 190, 201), ('sp_P14866_HNRPL_HUMAN', 249, 260), ('gi_52632383_ref_NP_001524.2_', 249, 260)]	144	2.5e-07	1	12	12
16428			[('tr_E9PQH6_E9PQH6_HUMAN', 129, 135), ('tr_C9JX21_C9JX21_HUMAN', 129, 135), ('tr_Q5JR08_Q5JR08_HUMAN', 129, 135), ('sp_P08134_RHOC_HUMAN', 129, 135), ('sp_P61586_RHOA_HUMAN', 129, 135), ('gi_28395033_ref_NP_786886.1_', 129, 135), ('gi_111494248_ref_NP_001036143.1_', 129, 135), ('gi_111494251_ref_NP_001036144.1_', 129, 135), ('gi_10835049_ref_NP_001655.1_', 129, 135), ('tr_E9PN11_E9PN11_HUMAN', 166, 172), ('##sp_A6NHT5_HMX3_HUMAN', 212, 221), ('##gi_157743259_ref_NP_001099044.1_', 212, 221), ('##tr_B3KXD6_B3KXD6_HUMAN', 289, 295), ('tr_B7Z8Z3_B7Z8Z3_HUMAN', 476, 484), ('sp_Q08477_CP4F3_HUMAN', 476, 484), ('gi_119220562_ref_NP_000887.2_', 476, 484), ('gi_312836833_ref_NP_001186137.1_', 476, 484), ('gi_312836835_ref_NP_001186138.1_', 476, 484), ('##tr_B5MCF9_B5MCF9_HUMAN', 289, 295), ('##sp_O00541-2_PESC_HUMAN', 284, 290), ('##gi_342672053_ref_NP_001230154.1_', 284, 290), ('##sp_O00541_PESC_HUMAN', 289, 295), ('##gi_7657455_ref_NP_055118.1_', 289, 295)]	84	3.1	7	13	7
15026			[('sp_O60264_SMCA5_HUMAN', 695, 706), ('gi_325651836_ref_NP_003592.3_', 695, 706)]	144	6.6e-07	1	12	12
16430			[('sp_Q99459_CDC5L_HUMAN', 546, 567), ('gi_11067747_ref_NP_001244.1_', 546, 567)]	132	7e-05	3	23	17
